filename	tile_size	pattern_width	rotations	output_size	ground	attempt_limit	output_periodic	input_periodic	location heuristic	choice heuristic	global constraint	backtracking	attempts	time_start	time_adjacency	adjacency_duration	time solve start	time solve end	solve duration	pattern count	choices	wave	backtracks	propagations	outcome	
Nested	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	3	1090759.5608667	1090759.9718123	1.3288193000480533	1090761.3006316	None	1.0954657001420856	41	107	107	0	214	contradiction	
Nested	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	4	1090759.5608667	1090759.9718123	2.4250441000331193	1090762.3968564	None	1.1130220999475569	41	147	147	0	294	contradiction	
Nested	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	5	1090759.5608667	1090759.9718123	3.539026000071317	1090763.5108383	1090764.7410925	1.2302542000543326	41	204	204	0	408	success	
Magic Office	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090764.7583862	1090767.5153231	0.001343300100415945	1090767.5166664	None	12.865577799966559	117	429	429	0	858	contradiction	
Magic Office	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	2	1090764.7583862	1090767.5153231	12.867926300037652	1090780.3832494	1090793.2926438	12.909394399961457	117	864	864	0	1728	success	
Office 2	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090793.3093986	1090803.0011358	0.002158199902623892	1090803.003294	1090835.1899696	32.18667560000904	224	637	637	0	1274	success	
Qud	1	3	7	(80, 80)	0	10	True	True	entropy	weighted	False	False	1	1090835.2076675	1090837.1042919	0.0013792000245302916	1090837.1056711	1090896.8664569	59.760785799939185	98	884	884	0	1768	success	
Red Dot	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090896.9105362	1090897.4953279	0.001189500093460083	1090897.4965174	None	2.389071499928832	51	179	179	0	358	contradiction	
Red Dot	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	2	1090896.9105362	1090897.4953279	2.4014389000367373	1090899.8967668	1090902.3410346	2.444267800077796	51	358	358	0	716	success	
Scaled Maze	1	2	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090902.3595622	1090902.4308721	0.0010500999633222818	1090902.4319222	1090905.542373	3.1104508000425994	14	1853	1853	0	3706	success	
Sewers	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090905.5622721	1090909.1926751	0.0013978001661598682	1090909.1940729	1090921.219093	12.025020099943504	132	346	346	0	692	success	
Skew 1	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090921.2359196	1090922.0788478	0.0012956000864505768	1090922.0801434	None	2.41044249990955	64	161	161	0	322	contradiction	
Skew 1	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	2	1090921.2359196	1090922.0788478	2.412549000000581	1090924.4913968	1090928.2510838	3.759687000187114	64	414	414	0	828	success	
Skew 2	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090928.2701533	1090929.4516589	0.0012035002000629902	1090929.4528624	None	3.381000999826938	76	179	179	0	358	contradiction	
Skew 2	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	2	1090928.2701533	1090929.4516589	3.383056899998337	1090932.8347158	1090937.9975764	5.162860600044951	76	495	495	0	990	success	
Smile City	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090938.0139271	1090939.1841795	0.0016085999086499214	1090939.1857881	1090942.0985771	2.912789000198245	77	118	118	0	236	success	
Spirals	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090942.1164551	1090943.7775015	0.0012022999580949545	1090943.7787038	1090953.9969216	10.218217800138518	90	418	418	0	836	success	
Town	1	3	7	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090954.0137304	1090958.434484	0.001523299841210246	1090958.4360073	1090972.2554268	13.819419500185177	151	363	363	0	726	success	
3Bricks	1	3	0	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1090972.2744567	1091006.2876468	0.0037444999907165766	1091006.2913913	None	19.369730999926105	423	138	138	0	276	contradiction	
3Bricks	1	3	0	(48, 48)	0	10	True	True	entropy	weighted	False	False	2	1090972.2744567	1091006.2876468	19.374350300058722	1091025.6619971	None	25.619795399950817	423	309	309	0	618	contradiction	
3Bricks	1	3	0	(48, 48)	0	10	True	True	entropy	weighted	False	False	3	1090972.2744567	1091006.2876468	44.995069900061935	1091051.2827167	1091103.7465486	52.46383189992048	423	756	756	0	1512	success	
Village	1	3	1	(48, 48)	0	10	True	True	entropy	weighted	False	False	1	1091103.7655456	1091104.3600156	0.001192399999126792	1091104.361208	1091105.7117776	1.3505696000065655	54	86	86	0	172	success	
